"Inspection","Permit_ID","Date","Time","Inspection_Type","Critical_Violations","Non_Critical_Violations","Critical_Violations_Corrected_On_Site","Critical_Violations_To_Be_Resolved","Non_Critical_Violations_Corrected_On_Site","Non_Critical_Violations_To_Be_Resolved"
9958,4351,"2010-6-15","10:30","Routine","1","0","0","0","0","0"
9959,3178,"2010-10-29","13:50","Routine","3","7","2","1","1","1"
9962,3959,"2010-10-19","11:30","Routine","3","0","0","0","0","0"
9964,1337,"2010-4-30","11:15","Follow-up","0","0","0","0","0","0"
9965,1339,"2010-4-30","10:20","Follow-up","0","0","0","0","0","0"
9966,3954,"2010-4-19","15:15","Follow-up","1","0","1","0","0","0"
9967,5237,"2010-6-30","10:30","Complaint","2","0","0","0","0","0"
9968,5337,"2010-6-3","14:45","Follow-up","0","4","0","0","0","0"
9970,5158,"2010-6-30","23:45","Follow-up","2","1","2","0","1","0"
9971,4137,"2010-6-30","14:00","Routine","1","1","1","0","1","0"
9972,1829,"2010-10-28","11:20","Follow-up","1","0","0","0","0","0"
9975,745,"2010-5-4","10:15","Complaint","2","0","1","0","0","0"
9977,2311,"2010-10-28","12:10","Follow-up","0","2","0","0","0","0"
9978,1493,"2010-11-1","11:30","Routine","1","1","1","0","1","0"
9979,3324,"2010-10-28","10:15","Routine","8","3","3","0","0","0"
9980,737,"2010-5-4","14:35","Routine","4","0","0","0","0","0"
9984,5340,"2010-10-27","11:00","License transfer","0","4","0","0","0","0"
9985,5340,"2010-10-29","11:55","Follow-up","0","1","0","0","0","0"
9986,1016,"2010-11-1","11:55","Routine","0","2","0","0","0","0"
9987,1565,"2010-11-1","10:15","Routine","1","6","0","0","3","0"
9988,720,"2010-5-4","13:55","Routine","2","0","0","0","0","0"
9992,2382,"2010-5-5","12:25","Follow-up","0","0","0","0","0","0"
9994,4380,"2010-6-14","10:30","Follow-up","2","0","2","0","0","0"
9995,2701,"2010-5-5","10:30","Follow-up","0","0","0","0","0","0"
9996,2377,"2010-5-5","11:30","Follow-up","0","0","0","0","0","0"
9997,4209,"2010-6-14","13:15","Follow-up","0","0","0","0","0","0"
9998,4104,"2010-6-1","10:30","Routine","1","0","1","0","0","0"
10000,3138,"2010-11-2","23:20","Routine","1","3","1","0","3","0"
10001,2455,"2010-5-5","12:00","Follow-up","0","0","0","0","0","0"
10002,1378,"2010-11-2","11:30","Routine","2","2","2","0","1","0"
10005,1338,"2010-11-1","13:30","Routine","4","5","3","0","2","0"
10008,1491,"2010-11-2","14:20","Routine","2","2","2","0","2","0"
10009,2867,"2010-11-2","11:27","Follow-up","5","2","3","1","1","0"
10012,4353,"2010-6-2","13:30","Follow-up","0","0","0","0","0","0"
10014,2142,"2010-11-3","10:30","Follow-up","0","0","0","0","0","0"
10016,3923,"2010-11-3","00:05","Follow-up","0","0","0","0","0","0"
10018,1997,"2010-11-3","13:05","Follow-up","0","0","0","0","0","0"
10019,3360,"2010-11-3","14:45","Routine","2","0","2","0","0","0"
10021,4301,"2010-6-14","12:15","Follow-up","0","0","0","0","0","0"
10022,4380,"2010-6-4","14:45","Routine","1","0","1","0","0","0"
10026,1024,"2010-11-2","10:50","Complaint","1","4","0","0","3","0"
10027,1016,"2010-11-3","11:25","Follow-up","0","0","0","0","0","0"
10028,5343,"2010-11-3","11:00","Preoperational","0","0","0","0","0","0"
10033,1495,"2010-11-3","12:00","Routine","2","3","0","0","1","0"
10034,5350,"2010-11-2","13:50","Preoperational","1","0","0","0","0","0"
10036,4604,"2010-10-21","12:00","Complaint","1","3","1","0","3","0"
10039,4452,"2010-10-18","13:15","Complaint","0","2","0","0","2","0"
10040,5258,"2010-11-3","11:51","Follow-up","3","2","3","1","1","0"
10042,2488,"2010-11-4","22:55","Routine","1","0","1","0","0","0"
10043,3800,"2010-11-4","13:00","Routine","2","1","0","0","0","0"
10044,5351,"2010-10-19","10:30","Pre-operational","2","4","0","0","1","0"
10045,3802,"2010-11-4","10:30","Routine","2","0","0","0","0","0"
10046,3802,"2010-11-4","10:30","Routine","1","0","0","0","0","0"
10047,1909,"2010-11-3","10:30","Routine","2","1","2","0","0","0"
10048,3450,"2010-11-3","23:00","Routine","1","3","1","0","0","0"
10049,5352,"2010-11-3","13:45","Preoperational","1","1","1","0","0","0"
10052,2451,"2010-11-4","11:00","Complaint","0","1","0","0","1","0"
10057,2682,"2010-11-4","12:30","Routine","2","9","2","0","6","0"
10061,2027,"2010-11-4","13:15","Renewal","2","3","2","0","1","0"
10062,5342,"2010-11-3","12:15","Preoperational","4","1","0","0","0","0"
10066,1191,"2010-11-5","10:30","Routine","2","3","2","0","1","0"
10068,594,"2010-11-5","11:40","Routine","1","2","1","0","1","0"
10070,1805,"2010-11-5","14:00","Follow-up","0","0","0","0","0","0"
10071,3894,"2010-11-4","11:20","Routine","2","0","2","0","0","0"
10072,5356,"2010-11-5","11:00","Preoperational","0","1","0","0","0","0"
10073,5354,"2010-11-5","13:55","Preoperational","0","1","0","0","0","0"
10075,832,"2010-11-4","11:20","Complaint","1","0","1","0","0","0"
10076,3884,"2010-11-4","12:25","Routine","3","1","0","0","1","0"
10077,4408,"2010-11-5","12:30","Follow-up","1","2","1","0","2","0"
10078,2045,"2010-11-4","12:00","License Transfer","3","0","3","0","0","0"
10079,5203,"2010-11-4","11:55","Routine","1","2","1","0","1","0"
10080,4307,"2010-11-4","11:30","Routine","0","2","0","0","2","0"
10081,1641,"2010-11-3","11:40","Routine","0","4","0","0","0","0"
10083,4242,"2010-11-4","13:00","Routine","2","6","2","0","4","0"
10085,1782,"2010-5-26","14:05","New ownership","0","0","0","0","0","0"
10088,5357,"2010-10-27","12:53","New","0","0","0","0","0","0"
10089,5345,"2010-6-16","11:00","Follow-up","0","0","0","0","0","0"
10090,5358,"2010-11-5","11:30","Preoperational","1","1","1","0","1","0"
10091,5359,"2010-11-5","10:30","Preoperational","1","2","1","0","0","0"
10092,4408,"2010-11-8","14:50","Follow-up","2","0","2","0","0","0"
10093,4200,"2010-6-10","13:05","Routine","2","0","0","0","0","0"
10095,4300,"2010-6-10","14:10","Routine","2","0","0","0","0","0"
10098,5342,"2010-11-8","12:30","Preoperational","0","0","0","0","0","0"
10101,3725,"2010-11-8","15:30","License Renewal","1","4","1","0","3","0"
10103,1464,"2010-11-08","10:30","Complaint","5","0","5","0","0","0"
10106,3233,"2010-11-8","11:25","Follow-up","0","0","0","0","0","0"
10107,3324,"2010-11-8","13:00","Follow-up","0","0","0","0","0","0"
10108,4415,"2010-6-10","12:05","Follow-up","0","0","0","0","0","0"
10110,2821,"2010-11-8","12:45","Routine","10","17","0","0","0","0"
10112,592,"2010-11-5","11:15","Complaint","6","12","1","0","7","0"
10115,2810,"2010-11-8","10:42","Follow-up","1","3","1","0","2","0"
10119,4971,"2010-11-9","12:05","Routine","1","1","1","0","0","0"
10120,1181,"2010-11-9","10:30","Routine","1","3","1","0","3","0"
10122,5356,"2010-11-9","10:25","Follow-up","0","0","0","0","0","0"
10123,3808,"2010-11-9","12:45","Routine","2","1","2","0","1","0"
10125,2821,"2010-11-9","12:00","Follow-up","1","5","0","1","3","3"
10126,2489,"2010-6-25","13:30","Complaint","2","3","2","0","1","0"
10128,2903,"2010-11-09","13:30","Follow-up","2","1","2","0","1","0"
10135,4367,"2010-11-9","14:24","Complaint","2","2","1","0","1","0"
10137,1987,"2010-11-10","10:55","Complaint","4","4","2","0","0","0"
10138,4301,"2010-6-9","10:30","Complaint","4","1","0","0","0","0"
10139,5361,"2010-11-10","11:16","Preoperational","0","0","0","0","0","0"
10140,4209,"2010-6-7","15:45","Complaint","1","1","1","0","0","0"
10141,2029,"2010-11-10","13:15","License Renewal","0","1","0","0","0","0"
10147,3831,"2010-11-9","10:45","Routine","5","0","0","0","0","0"
10152,1729,"2010-11-10","14:05","Routine","1","6","1","0","2","0"
10153,3771,"2010-11-10","12:40","Routine","1","1","0","0","0","0"
10160,1153,"2010-11-9","12:15","Follow-up","0","0","0","0","0","0"
10161,2017,"2010-11-12","11:30","Routine","3","5","2","0","2","0"
10163,592,"2010-11-12","10:34","Follow-up","1","0","0","0","0","0"
10164,4671,"2010-5-5","14:55","Follow-up","0","0","0","0","0","0"
10170,2016,"2010-11-12","12:15","Routine","1","1","1","0","0","0"
10173,1094,"2010-5-25","13:40","Follow-up","0","0","0","0","0","0"
10175,1228,"2010-11-10","13:15","Routine","0","2","0","0","2","0"
10178,1176,"2010-11-15","11:20","Routine","1","2","1","0","2","0"
10179,5172,"2010-11-15","11:05","Routine","2","0","1","0","0","0"
10182,1547,"2010-11-15","14:15","Complaint","2","3","0","0","2","0"
10183,843,"2010-11-15","14:20","Routine","3","5","1","1","2","0"
10184,830,"2010-11-15","14:10","Routine","2","1","2","0","1","0"
10185,953,"2010-11-10","14:00","Routine","2","6","0","0","3","0"
10190,3722,"2010-11-15","11:55","Routine","2","0","2","0","0","0"
10191,3131,"2010-11-15","12:01","Follow-up","0","2","0","0","2","0"
10192,3069,"2010-11-12","14:00","Preoperational","0","1","0","0","0","0"
10193,3585,"2010-11-15","13:10","Routine","3","0","0","0","0","0"
10195,2293,"2010-11-15","11:45","Routine","3","2","1","0","0","0"
10197,1575,"2010-11-15","10:15","Routine","4","0","0","0","0","0"
10199,813,"2010-11-10","13:30","Follow-up","0","0","0","0","0","0"
10204,1257,"2010-11-16","14:15","Complaint","1","4","1","0","2","0"
10208,5370,"2010-11-12","12:15","Routine","2","1","1","0","0","0"
10209,2101,"2010-11-15","11:00","Routine","2","2","2","0","1","0"
10211,1495,"2010-11-16","11:32","Follow-up","1","1","1","0","1","0"
10212,4185,"2010-11-16","13:50","Complaint","1","5","1","0","4","0"
10213,822,"2010-11-16","12:30","Routine","1","6","1","0","1","0"
10214,4127,"2010-11-16","10:45","Complaint","1","3","1","0","0","0"
10215,3183,"2010-11-16","10:45","Routine","1","4","0","0","2","0"
10216,1425,"2010-11-16","11:00","Renewal","1","1","1","0","1","0"
10217,990,"2010-11-15","12:15","Routine","0","1","0","0","1","0"
10223,4122,"2010-11-16","11:50","Routine","1","4","0","0","0","0"
10226,2654,"2010-11-17","11:15","Follow-up","0","2","0","0","0","2"
10227,2085,"2010-11-17","13:30","Follow-up","0","0","0","0","0","0"
10230,2328,"2010-11-12","14:45","Routine","3","1","2","0","0","0"
10232,2113,"2010-11-17","13:00","Routine","1","1","0","0","0","0"
10233,1675,"2010-11-16","14:25","Follow-up","0","0","0","0","0","0"
10234,5163,"2010-11-15","12:05","Routine","2","2","2","0","1","0"
10235,1464,"2010-6-16","10:15","Complaint","2","1","1","0","1","0"
10236,4415,"2010-11-17","11:07","Complaint","10","18","6","0","2","0"
10237,5373,"2010-11-17","14:10","Preoperational","0","1","0","0","0","0"
10241,1714,"2010-11-16","10:30","Follow-up","3","2","3","0","1","0"
10242,1587,"2010-11-17","13:00","Routine","2","0","0","0","0","0"
10243,5090,"2010-11-16","11:45","Renewal","0","0","0","0","0","0"
10244,1934,"2010-6-14","12:20","Routine","1","4","0","0","1","0"
10247,4310,"2010-11-17","11:10","Routine","0","2","0","0","1","0"
10248,1024,"2010-11-17","11:20","Follow-up","1","4","1","0","3","0"
10251,1423,"2010-11-16","12:30","Renewal","1","2","0","0","0","0"
10252,3403,"2010-11-18","12:15","Routine","1","2","1","0","1","0"
10253,3214,"2010-11-18","13:45","Routine","2","1","1","0","0","0"
10254,5170,"2010-11-18","12:00","Follow-up","0","0","0","0","0","0"
10255,3760,"2010-11-18","12:00","Routine","3","0","0","0","0","0"
10257,5350,"2010-11-18","00:45","Follow-up","0","0","0","0","0","0"
10259,2111,"2010-11-18","14:20","Routine","1","4","0","1","0","1"
10261,3762,"2010-11-18","11:40","Renewal","0","1","0","0","0","0"
10262,739,"2010-11-18","12:45","Routine","3","6","0","0","0","0"
10264,1832,"2010-11-19","11:00","Routine","3","0","1","0","0","0"
10265,3979,"2010-11-18","10:30","Renewal","4","4","2","0","1","0"
10268,5374,"2010-11-18","10:15","Preoperational","0","1","0","0","0","0"
10270,3870,"2010-11-19","10:20","Complaint","3","5","0","0","3","0"
10272,1885,"2010-11-19","11:55","Follow-up","0","0","0","0","0","0"
10273,5357,"2010-11-19","13:30","follow up","0","0","0","0","0","0"
10274,1769,"2010-11-16","11:00","Routine","1","1","0","0","0","0"
10275,4787,"2010-11-19","10:50","Complaint","2","0","0","0","0","0"
10276,3829,"2010-11-17","22:45","Routine","2","0","0","0","0","0"
10277,3637,"2010-11-19","12:00","Complaint","4","0","0","1","0","0"
10279,3423,"2010-11-18","11:45","Routine","3","0","1","0","0","0"
10281,3424,"2010-11-18","10:30","Routine","1","0","1","0","0","0"
10282,1997,"2010-11-18","23:00","Complaint","1","3","1","0","2","0"
10283,572,"2010-11-18","10:10","Complaint","6","9","4","0","4","0"
10284,5297,"2010-11-22","09:53","Complaint","3","2","0","0","0","0"
10290,4367,"2010-11-22","11:15","Follow-up","2","0","1","0","0","0"
10297,4415,"2010-11-19","13:58","License Restoration","0","0","0","0","0","0"
10302,5029,"2010-11-22","14:20","Routine","3","7","1","0","2","0"
10306,5382,"2010-11-22","14:37","License Renewal","8","9","3","0","4","0"
10307,2723,"2010-11-23","12:45","License Renewal","1","1","0","0","0","0"
10311,3477,"2010-11-23","11:00","Complaint","2","2","0","0","0","0"
10316,1443,"2010-6-29","12:45","Follow-up","0","0","0","0","0","0"
10317,3891,"2010-11-18","11:05","Follow-up","1","4","0","0","0","0"
10318,4320,"2010-6-8","11:15","Follow-up","0","0","0","0","0","0"
10319,2287,"2010-11-23","15:45","Complaint","5","5","0","0","0","0"
10320,2488,"2010-6-17","22:15","Complaint","3","2","1","0","0","0"
10322,542,"2010-8-24","12:00","Routine","1","4","0","0","4","0"
10324,4057,"2010-11-24","10:00","pre-operational/license renewal","2","0","2","0","0","0"
10326,2862,"2010-6-17","11:00","License Renewal","0","3","0","0","0","0"
10328,2944,"2010-6-14","12:45","Routine","0","2","0","0","0","0"
10330,1918,"2010-6-9","11:00","License Renewal","1","2","0","0","0","0"
10331,3477,"2010-11-24","11:00","License restoration","0","1","0","0","0","0"
10332,2514,"2010-11-23","10:30","Complaint","2","3","1","0","1","0"
10334,2723,"2010-11-19","13:45","License Renewal","1","2","1","0","1","0"
10336,5383,"2010-6-16","14:00","Routine","2","1","1","0","1","0"
10337,2174,"2010-10-8","10:50","Complaint","0","3","0","0","1","0"
10338,5385,"2010-11-24","10:30","Preoperational","0","2","0","0","0","0"
10339,5386,"2010-11-23","13:34","Preoperational","1","0","1","0","0","0"
10341,2111,"2010-11-26","11:30","Follow-up","0","0","0","0","0","0"
10342,953,"2010-11-26","15:49","Follow-up","0","0","0","0","0","0"
10345,4949,"2010-6-4","10:30","Preoperational","0","6","0","0","0","0"
10348,5223,"2010-11-29","12:15","Preoperational","0","1","0","0","1","0"
10349,1832,"2010-11-29","10:20","RESTORATION","0","0","0","0","0","0"
10352,5387,"2010-11-26","09:45","Preoperational","0","2","0","0","2","0"
10356,2467,"2010-11-18","13:00","Routine","0","0","0","0","0","0"
10357,1651,"2010-11-29","12:45","Routine","4","0","0","0","0","0"
10358,1815,"2010-11-29","11:15","Routine","3","0","0","0","0","0"
10360,2214,"2010-11-30","12:15","Routine","1","1","1","0","0","0"
10363,3798,"2010-10-29","10:00","Complaint","1","3","1","0","2","0"
10367,5391,"2010-11-30","12:30","Routine","7","11","2","0","1","0"
10374,739,"2010-11-29","11:35","Follow-up","0","0","0","0","0","0"
10375,5029,"2010-11-30","14:50","Follow-up","0","0","0","0","0","0"
10376,5091,"2010-12-1","11:20","Routine","0","1","0","0","1","0"
10383,5392,"2010-12-1","13:00","preoperational","1","1","0","0","0","0"
10385,3786,"2010-12-1","13:00","Routine","2","0","0","0","0","0"
10388,5371,"2010-12-1","14:10","Routine","2","5","2","0","3","0"
10392,5008,"2010-12-1","13:00","Routine","0","1","0","0","1","0"
10394,2767,"2010-11-24","12:00","Complaint","2","6","2","0","2","0"
10399,4050,"2010-11-30","11:15","License Renewal","2","3","1","0","1","0"
10402,1674,"2010-12-1","12:00","Routine","2","0","0","0","0","0"
10406,5085,"2010-12-3","11:20","Routine","0","0","0","0","0","0"
10408,4320,"2010-6-2","14:30","Routine","2","2","0","0","0","0"
10411,3934,"2010-12-3","13:16","reinspection","2","2","0","0","0","0"
10414,3935,"2010-12-3","11:50","Routine","1","4","1","0","0","0"
10415,3618,"2010-12-2","10:30","RESTORATION","2","0","0","0","0","0"
10416,696,"2010-12-2","16:00","Complaint","6","7","0","0","0","0"
10417,602,"2010-11-23","18:00","Routine","2","4","2","0","4","0"
10418,598,"2010-11-23","17:15","License Renewal","0","3","0","0","3","0"
10422,5392,"2010-12-2","12:01","preoperational","0","0","0","0","0","0"
10426,2434,"2010-12-2","14:00","Follow-up","0","0","0","0","0","0"
10427,1615,"2010-12-6","11:30","Routine","0","1","0","0","0","0"
10430,4408,"2010-6-14","14:15","Follow-up","0","0","0","0","0","0"
10433,4302,"2010-12-6","14:05","Complaint","3","7","0","0","0","0"
10437,572,"2010-12-6","11:22","Complaint","5","6","3","0","4","0"
10440,5022,"2010-11-30","12:30","Routine","1","0","0","0","0","0"
10444,5405,"2010-12-6","10:45","Preoperational","1","1","1","0","0","0"
10447,4180,"2010-9-21","12:45","Renewal","0","2","0","0","2","0"
10452,3626,"2010-6-29","14:30","Routine","0","1","0","0","1","0"
10453,4108,"2010-12-7","13:15","License Transfer","4","5","1","0","0","0"
10465,1423,"2010-12-7","12:30","Follow-up","0","0","0","0","0","0"
10466,5257,"2010-12-6","11:10","Preoperational","0","0","0","0","0","0"
10468,3882,"2010-12-2","11:45","Routine","3","0","0","0","0","0"
10472,3298,"2010-12-3","10:30","Routine","4","0","0","0","0","0"
10483,3624,"2010-12-7","10:00","Routine","2","0","0","0","0","0"
10484,4868,"2010-6-21","10:30","Follow-up","0","0","0","0","0","0"
10487,3622,"2010-12-7","10:55","Routine","3","0","0","0","0","0"
10489,3491,"2010-12-9","11:30","Routine","1","1","1","0","0","0"
10490,3910,"2010-12-7","11:40","License Renewal","1","2","1","0","1","0"
10492,1855,"2010-12-6","14:00","Fire","1","2","1","0","0","0"
10493,4351,"2010-6-21","13:45","Follow-up","0","0","0","0","0","0"
10495,1914,"2010-12-7","12:15","Routine","2","0","2","0","0","0"
10496,2338,"2010-12-9","10:55","Routine","1","1","1","0","0","0"
10498,1571,"2010-12-7","14:00","Fire","2","2","2","0","0","0"
10500,4787,"2010-12-9","11:40","Follow-up","1","1","1","0","0","0"
10502,2221,"2010-12-7","13:52","Complaint","0","2","0","0","1","0"
10505,2338,"2010-12-9","14:10","Restoration","0","0","0","0","0","0"
10506,2675,"2010-12-7","13:30","Follow-up","0","1","0","0","0","0"
10507,1431,"2010-12-10","10:45","Complaint","0","1","0","0","0","0"
10509,1086,"2010-12-10","11:04","Routine","3","7","0","0","0","0"
10510,2514,"2010-12-10",": AM","Follow-up","0","0","0","0","0","0"
10514,1086,"2010-12-11","07:00","Follow-up","0","0","0","0","0","0"
10515,1697,"2010-12-10","12:15","Complaint","5","3","1","0","0","0"
10517,1251,"2010-12-8","10:00","Routine","3","0","1","0","0","0"
10518,2111,"2010-12-14","10:30","Follow-up","0","0","0","0","0","0"
10523,1662,"2010-12-3","13:05","Routine","1","3","1","0","3","0"
10524,5017,"2010-12-15","12:15","Routine","2","1","2","0","1","0"
10527,1396,"2010-12-15","11:15","Routine","1","0","1","0","0","0"
10528,4122,"2010-12-2","11:15","Follow-up","0","1","0","0","1","0"
10530,5409,"2010-12-7","15:45","License Renewal","3","6","0","0","0","0"
10534,3025,"2010-12-15","11:55","License Renewal","1","2","1","0","1","0"
10539,2116,"2010-12-9","10:00","Routine","1","1","1","0","0","0"
10540,2118,"2010-12-9","10:55","Routine","0","0","0","0","0","0"
10544,4415,"2010-8-31","10:30","Routine","2","0","0","0","0","0"
10547,2342,"2010-12-20","11:00","Routine","3","0","0","0","0","0"
10548,4025,"2010-12-9","12:00","Routine","1","0","0","0","0","0"
10550,2008,"2010-12-14","10:45","Routine","3","0","0","0","0","0"
10551,3556,"2010-12-14","12:10","Routine","3","0","0","0","0","0"
10552,2005,"2010-12-21","10:30","Follow-up","0","0","0","0","0","0"
10558,3452,"2010-12-21","12:20","Complaint","6","5","0","0","0","0"
10560,3189,"2010-12-21","13:30","Routine","2","0","0","0","0","0"
10563,3388,"2010-12-22","10:30","Follow-up","0","0","0","0","0","0"
10567,5437,"2010-12-23","11:00","Follow-up","0","0","0","0","0","0"
10569,4405,"2010-12-23","11:40","Complaint","1","2","1","0","1","0"
10570,3529,"2010-12-22","13:15","Routine","0","2","0","0","2","0"
10574,5439,"2010-12-27","11:30","Preoperational","1","3","1","0","1","0"
10576,5438,"2010-12-27","11:00","TRANSFER OF LICENSE","3","0","3","0","0","0"
10578,1376,"2010-12-27","12:15","Routine","2","1","2","0","0","0"
10581,2950,"2010-12-1","13:55","Routine","1","1","1","0","1","0"
10582,5108,"2010-12-28","13:20","Routine","3","5","0","0","0","0"
10583,3625,"2010-12-7","11:50","Routine","2","0","0","0","0","0"
10587,3406,"2010-12-29","12:45","Routine","4","0","0","0","0","0"
10588,2786,"2010-12-29","11:30","Follow-up","3","7","1","0","2","0"
10589,2412,"2010-12-29","13:41","Follow-up","1","3","1","0","0","0"
10591,940,"2010-12-30","10:55","Routine","2","6","0","0","0","0"
10593,4433,"2010-11-8","10:30","Follow-up","0","0","0","0","0","0"
10594,5429,"2010-12-17","11:00","Preoperational","1","0","1","0","0","0"
10595,3122,"2010-12-10","12:30","Complaint","1","5","0","0","0","0"
10596,5444,"2011-1-3","11:00","Preoperational","1","1","1","0","0","0"
10597,5442,"2010-12-30","11:15","Complaint","4","1","2","0","0","0"
10598,1490,"2010-12-22","15:05","Routine","0","1","0","0","1","0"
10600,4037,"2010-11-23","10:25","Routine","1","2","1","0","2","0"
10603,2060,"2010-12-29","11:15","Routine","4","2","0","0","0","0"
10604,1698,"2010-11-23","13:00","Routine","1","1","1","0","1","0"
10606,2323,"2010-12-3","10:50","Routine","1","2","1","0","1","0"
10607,3386,"2011-1-3","14:49","Restoration","0","0","0","0","0","0"
10608,3386,"2011-1-3","12:31","Routine","0","1","0","0","0","0"
10610,1714,"2011-1-3","13:37","Complaint","7","1","1","0","0","0"
10611,3736,"2010-12-29","10:40","License Renewal","0","3","0","0","2","0"
10616,2443,"2011-1-4","12:31","Routine","4","4","0","0","2","0"
10617,3779,"2011-1-3","10:30","Routine","3","4","0","0","0","0"
10618,3886,"2011-1-4","11:40","Routine","1","0","0","0","0","0"
10619,1417,"2011-1-3","14:00","Routine","0","0","0","0","0","0"
10621,3626,"2010-12-7","13:05","Routine","2","0","0","0","0","0"
10622,4433,"2010-9-10","10:30","Routine","1","0","0","0","0","0"
10624,4919,"2010-7-21","00:30","Routine","2","0","0","0","0","0"
10631,916,"2011-1-5","11:10","Routine","3","4","1","0","0","0"
10632,5449,"2011-1-3","13:30","Complaint","8","1","1","0","0","0"
10635,4423,"2011-1-6","11:00","Renewal","2","2","0","0","0","0"
10636,1911,"2011-1-6","10:15","Routine","0","1","0","0","1","0"
10637,2420,"2011-1-6","11:30","Routine","1","3","1","0","3","0"
10639,4040,"2011-1-6","14:00","License Renewal","1","1","0","1","0","1"
10641,2447,"2011-1-6","13:45","Routine","6","4","3","0","0","0"
10646,2979,"2011-1-7","00:50","Follow-up","0","0","0","0","0","0"
10647,3531,"2011-1-7","09:45","Routine","5","0","0","0","0","0"
10648,3633,"2011-1-5","10:30","Routine","5","1","0","0","0","0"
10650,862,"2011-1-6","11:00","Routine","1","3","0","0","3","0"
10651,2581,"2010-1-7","10:25","Ownership Change","6","12","1","0","2","0"
10653,5421,"2011-1-7","12:00","Complaint","1","2","1","0","0","0"
10657,5461,"2011-1-6","14:10","Complaint","0","2","0","0","1","0"
10660,2782,"2011-1-12","11:30","Follow-up","0","0","0","0","0","0"
10662,5433,"2011-1-12","14:00","Follow-up","0","0","0","0","0","0"
10663,1028,"2011-1-12","13:00","Complaint","1","2","1","0","0","0"
10665,4886,"2011-1-12","13:00","Routine","2","1","1","0","1","0"
10667,5020,"2011-1-12","11:15","Complaint","0","1","0","0","0","0"
10668,5289,"2011-1-12","13:49","Routine","2","3","0","0","0","0"
10669,5472,"2011-1-13","10:54","Routine","4","8","4","0","3","0"
10673,4040,"2011-1-13","14:30","Follow-up","0","0","0","0","0","0"
10677,3025,"2011-1-13","11:39","Routine","2","3","0","0","0","0"
10679,4613,"2011-1-14","09:55","Complaint","4","12","1","0","3","0"
10681,5475,"2011-1-14","09:45","Routine","5","4","3","0","3","0"
10683,1156,"2011-1-14","11:45","Follow-up","6","3","2","0","0","0"
10685,5229,"2011-1-14","14:30","Follow-up","0","0","0","0","0","0"
10688,1921,"2011-1-14","13:25","Complaint","4","4","3","0","0","0"
10689,1460,"2011-01-18","11:45","ownership change","2","1","1","0","1","0"
10693,1966,"2011-1-19","11:30","Follow-up","0","0","0","0","0","0"
10694,2447,"2011-1-19","00:20","Follow-up","0","0","0","0","0","0"
10695,3388,"2011-1-19","13:55","Follow-up","0","0","0","0","0","0"
10696,4603,"2011-1-20","11:33","Restoration","1","1","0","1","0","1"
10697,5171,"2011-1-21","10:40","Follow-up","0","0","0","0","0","0"
10698,1848,"2011-1-21",": AM","follow up","0","0","0","0","0","0"
10706,1184,"2010-10-22","12:15","Follow-up","2","0","2","0","0","0"
10707,1652,"2011-01-25","11:00","Routine","3","0","2","0","0","0"
10709,1550,"2011-01-25","13:40","Routine","2","0","0","2","0","0"
10710,2617,"2011-1-25","11:31","Complaint","7","12","4","0","3","0"
10713,5485,"2011-1-24","12:30","Preoperational","0","1","0","0","0","0"
10714,5492,"2011-1-20","13:15","Preoperational","1","5","0","0","1","0"
10718,2181,"2010-12-10","11:55","Routine","1","2","1","0","0","0"
10719,5495,"2011-1-28","14:02","Routine","0","1","0","0","0","0"
10721,916,"2011-1-31","10:42","Routine","5","7","0","0","0","0"
10724,1883,"2011-1-31","11:30","Follow-up","0","0","0","0","0","0"
10726,4903,"2011-02-01","11:30","Complaint","3","2","0","3","0","2"
10727,5498,"2011-2-1","12:30","Complaint","4","1","3","0","1","0"
10728,3864,"2011-1-31","17:15","Follow-up","0","0","0","0","0","0"
10729,1978,"2011-2-1","17:15","Complaint","4","6","4","0","6","0"
10731,2920,"2011-2-2","10:30","follow up","0","0","0","0","0","0"
10732,2187,"2011-2-2","11:30","Follow-up","0","0","0","0","0","0"
10733,2261,"2011-2-2","13:00","Follow-up","0","0","0","0","0","0"
10734,1028,"2011-2-2","17:15","Complaint","0","1","0","0","1","0"
10735,3980,"2010-12-14","13:45","Routine","0","3","0","0","1","0"
10736,3341,"2011-1-28","13:15","License Renewal","1","1","1","0","1","0"
10746,1916,"2011-2-3","16:35","Complaint","4","7","1","0","0","0"
10747,2807,"2011-2-4","11:50","Routine","1","1","1","0","1","0"
10750,4887,"2011-1-12","12:10","Routine","1","1","1","0","1","0"
10751,1329,"2011-2-8","13:10","Complaint","6","3","0","0","0","0"
10757,5506,"2011-2-8","17:15","Complaint","3","5","1","0","3","0"
10758,1880,"2011-2-7","17:45","Complaint","0","5","0","0","0","0"
10761,2145,"2011-2-9","10:30","Follow-up","0","0","0","0","0","0"
10762,4867,"2011-2-8","12:30","Complaint","1","0","1","0","0","0"
10764,5511,"2011-2-9","11:30","Complaint","3","1","3","0","1","0"
10767,5352,"2011-2-10","00:40","Complaint","1","2","1","0","2","0"
10769,5519,"2011-2-10","13:45","Complaint","2","1","1","0","0","0"
10773,5508,"2011-2-3","16:35","Complaint","3","7","1","0","0","0"
10775,5508,"2011-2-7","17:00","Follow-up","0","1","0","0","1","0"
10778,5489,"2011-1-7","13:15","Preoperational","0","1","0","0","1","0"
